Benefit per order,Sales per customer,Latitude,Longitude,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Product Price,Product Status,is_holiday_window,is_weekend_order,Shipping_mode_risk,customer_total_orders,customer_late_rate,customer_avg_delay_gap,Price Tier,Market_encoded,Order Region_encoded,Customer Segment_encoded,Department Name_encoded,Shipping Mode_encoded,Type_encoded,Order Status_encoded
0.032794233,0.021796376,-0.036014352,-0.09832812,0.07047167,-0.0105607575,-0.0031861034,-0.006356874,-0.006559357,-0.0029264474,0.00951476,0.008284781,0.008500565,0.0,0.0033437125,-0.0047157947,-0.69538647,-0.005706786,0.54067343,-0.044893157,0.0,0.010873209,-0.010712702,-0.0040782834,-0.004156795,-0.13538738,-0.000632797,0.06082677
-0.0044544023,0.009601943,-0.037881453,-0.09877837,0.0023808242,-0.014558605,0.0028043764,0.0034360173,0.0026510302,0.007755603,0.009654866,-0.0037452283,-0.0010269821,0.0,0.0038488223,-0.005410664,-0.69644,-0.032425832,0.52771014,-0.058816727,0.0,0.01022446,-0.012111793,-0.0001467611,-0.0011789429,-0.13770208,-0.0002599476,0.048803028
0.017610937,-0.0117646335,0.03075143,0.012798393,0.036991358,0.009929712,0.026214587,-0.019145764,-0.0106128175,-0.0038921928,-0.01600154,0.001576271,0.0006913321,0.0,0.00055349374,-0.026372299,0.8405358,0.01068599,-0.71963453,-0.118600965,0.0,-0.00082475995,0.008462265,0.00013990745,-0.0024117494,0.12530819,-0.004378996,0.1128979
0.038633056,-0.009962081,0.041741367,0.02042736,-0.00040932512,0.0021685713,-0.00082863733,-0.011819042,-0.0026473147,0.0014099743,0.0009886565,0.0020877125,-0.0011535859,0.0,0.004232285,-0.031086814,-0.6813969,-0.011099618,0.6114076,-0.055830967,0.0,0.009769788,0.037883572,0.0030479971,-0.0015518066,-0.14006406,0.00541187,0.07156231
-0.022899298,0.056650676,0.038189232,0.024027206,-0.019846015,-0.010776745,0.0083612725,-0.014987593,0.0045315335,-0.03580297,-0.0018056519,-0.0021776839,-0.0010184002,0.0,0.00408759,-0.03189403,-0.68164676,-0.007391112,0.6071348,-0.056677055,0.0,0.0016963987,0.040241785,0.003088268,-0.0022588074,-0.13644327,0.006335743,0.06880911
0.047402475,0.06357974,-0.022713142,0.0057279784,-0.01063637,-0.018132681,0.003938032,-0.003738317,0.0021483097,-0.03580802,0.0054998323,0.003155533,-0.0010667659,0.0,0.00033815653,0.040539417,-0.69223297,0.016742075,-0.7084034,0.17141324,0.0,-0.022931643,0.0016408949,-0.013925341,-0.005486298,-0.09725485,0.0059074503,0.13352299
0.04485787,-0.007321566,0.23313323,-0.02262037,-0.038898144,0.0026531839,-0.0075604734,-0.01780191,-0.0034869686,0.005947739,0.0037905232,-6.6082284e-06,-0.0013674531,0.0,0.0004271719,-0.0030500258,-0.6600012,0.0074948496,-0.3746717,-0.05262304,0.0,0.012743262,-0.017978778,-0.0021181393,0.0008523197,-0.14762416,-0.0019643446,0.08575203
0.006482865,-0.0040682717,0.22463574,-0.031525116,-0.016350936,-0.0029763465,0.0038896822,-0.0058229426,0.0016493567,0.006410292,-0.0034858717,-0.0021907284,0.0012262146,0.0,0.0005618069,-0.009036388,-0.66111135,0.0009808107,-0.37553975,-0.051948804,0.0,0.010583552,-0.027232273,-0.0023533413,-0.00042355116,-0.13769837,0.003488491,0.07958835
0.014235362,-0.014354215,0.22956695,-0.02628481,-0.011568609,-0.003942093,-0.0003972595,-0.0061707282,0.0015636856,-0.0015307874,-0.0038662322,-0.0018413786,0.001095285,0.0,0.0005618069,-0.008843934,-0.6608472,0.003061539,-0.37565508,-0.05752308,0.0,0.010721964,-0.026167013,-0.0023735191,-0.0004243911,-0.13759689,0.0034874256,0.0778511
-0.0028896972,0.00059188384,0.24767226,-0.01989091,-0.027551362,0.0047141165,-0.010606161,4.89871e-05,-2.9029248e-05,0.0137786595,-0.006277791,0.00072843453,0.0010657482,0.0,0.000719292,-0.0046839733,-0.6603466,0.0016511333,-0.37118137,-0.05733602,0.0,0.01359401,-0.016465232,-0.0015162715,-0.0018802674,-0.14697254,0.0048656305,0.07997259
